magnitude_bin,mag_low,mag_high,method,score_column,score_label,AUC,N_valid,N_star,N_galaxy,TP,FP,TN,FN,completeness,contamination,purity
16 <= r < 24,16.0,24.0,eq54_morphology_r,pS_r_eq54prior,morphology-only Eq.54 r,0.9672010164793007,69425,7386,62039,6143,99,61940,1243,0.8317086379637152,0.015860301185517463,0.9841396988144825
16 <= r < 24,16.0,24.0,pS_color_only,pS_color,color-only Random Forest,0.9797286074343069,69072,7202,61870,5816,236,61634,1386,0.8075534573729519,0.038995373430270985,0.9610046265697291
16 <= r < 24,16.0,24.0,eq54_color_r,pS_r_eq54prior_color,Eq.54 r + color,0.9899601234419313,68960,7202,61758,5940,38,61720,1262,0.824770896973063,0.006356641017062563,0.9936433589829374
16 <= r < 24,16.0,24.0,eq54_morphology_gri,pS_gri_eq54prior,morphology-only Eq.54 gri,0.9722761983931617,69315,7384,61931,6065,98,61833,1319,0.8213705308775732,0.015901346746714264,0.9840986532532857
16 <= r < 24,16.0,24.0,eq54_color_gri,pS_gri_eq54prior_color,Eq.54 gri + color,0.9905957876235224,68851,7200,61651,5948,63,61588,1252,0.8261111111111111,0.01048078522708368,0.9895192147729163
16 <= r < 24,16.0,24.0,eq54_morphology_ugrizy,pS_ugrizy_eq54prior,morphology-only Eq.54 ugrizy,0.9851441108885084,68360,7079,61281,5778,86,61195,1301,0.8162169797994067,0.014665757162346521,0.9853342428376535
16 <= r < 24,16.0,24.0,eq54_color_ugrizy,pS_ugrizy_eq54prior_color,Eq.54 ugrizy + color,0.9915174482444487,68360,7079,61281,5773,57,61224,1306,0.815510665348213,0.009777015437392796,0.9902229845626072
16 <= r < 24,16.0,24.0,r_extendedness,dp2_extendedness_r,r-band extendedness,,65689,7313,58376,5944,173,58203,1369,0.8127991248461643,0.028281837502043484,0.9717181624979565
24 <= r < 25,24.0,25.0,eq54_morphology_r,pS_r_eq54prior,morphology-only Eq.54 r,0.8575455566363434,87932,3088,84844,0,0,84844,3088,0.0,,
24 <= r < 25,24.0,25.0,pS_color_only,pS_color,color-only Random Forest,0.9336423854365875,84325,2525,81800,904,169,81631,1621,0.358019801980198,0.157502329916123,0.842497670083877
24 <= r < 25,24.0,25.0,eq54_color_r,pS_r_eq54prior_color,Eq.54 r + color,0.9412828899271343,84325,2525,81800,252,0,81800,2273,0.09980198019801981,0.0,1.0
24 <= r < 25,24.0,25.0,eq54_morphology_gri,pS_gri_eq54prior,morphology-only Eq.54 gri,0.8723239461451129,87890,3085,84805,275,168,84637,2810,0.08914100486223663,0.3792325056433409,0.6207674943566591
24 <= r < 25,24.0,25.0,eq54_color_gri,pS_gri_eq54prior_color,Eq.54 gri + color,0.9268783133921468,84291,2523,81768,313,1,81767,2210,0.12405866032500991,0.0031847133757961785,0.9968152866242038
24 <= r < 25,24.0,25.0,eq54_morphology_ugrizy,pS_ugrizy_eq54prior,morphology-only Eq.54 ugrizy,0.877116552215965,82486,2254,80232,126,17,80215,2128,0.055900621118012424,0.11888111888111888,0.8811188811188811
24 <= r < 25,24.0,25.0,eq54_color_ugrizy,pS_ugrizy_eq54prior_color,Eq.54 ugrizy + color,0.907050047873589,82486,2254,80232,164,4,80228,2090,0.07275953859804792,0.023809523809523808,0.9761904761904762
24 <= r < 25,24.0,25.0,r_extendedness,dp2_extendedness_r,r-band extendedness,,77268,2899,74369,1384,3924,70445,1515,0.4774060020696792,0.7392614920874152,0.2607385079125848
25 <= r < 26,25.0,26.0,eq54_morphology_r,pS_r_eq54prior,morphology-only Eq.54 r,0.7549937285542756,136624,3325,133299,0,0,133299,3325,0.0,,
25 <= r < 26,25.0,26.0,pS_color_only,pS_color,color-only Random Forest,0.9361917347610393,112590,2299,110291,604,95,110196,1695,0.26272292301000433,0.13590844062947066,0.8640915593705293
25 <= r < 26,25.0,26.0,eq54_color_r,pS_r_eq54prior_color,Eq.54 r + color,0.9066979394922623,112590,2299,110291,3,0,110291,2296,0.0013049151805132667,0.0,1.0
25 <= r < 26,25.0,26.0,eq54_morphology_gri,pS_gri_eq54prior,morphology-only Eq.54 gri,0.7734449936070372,136333,3311,133022,0,0,133022,3311,0.0,,
25 <= r < 26,25.0,26.0,eq54_color_gri,pS_gri_eq54prior_color,Eq.54 gri + color,0.8404090903362997,112485,2293,110192,3,0,110192,2290,0.0013083296990841692,0.0,1.0
25 <= r < 26,25.0,26.0,eq54_morphology_ugrizy,pS_ugrizy_eq54prior,morphology-only Eq.54 ugrizy,0.7559896270453603,103595,1950,101645,10,0,101645,1940,0.005128205128205128,0.0,1.0
25 <= r < 26,25.0,26.0,eq54_color_ugrizy,pS_ugrizy_eq54prior_color,Eq.54 ugrizy + color,0.8175697014874543,103595,1950,101645,14,0,101645,1936,0.0071794871794871795,0.0,1.0
25 <= r < 26,25.0,26.0,r_extendedness,dp2_extendedness_r,r-band extendedness,,97597,2763,94834,1311,20594,74240,1452,0.4744842562432139,0.9401506505364072,0.059849349463592785
